City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
214,dakar,100,SN,1576121641,25,14.69,-17.45,75.2,11.41
215,zhigansk,100,RU,1576121477,95,66.77,123.37,-28.35,8.3
216,nabire,95,ID,1576121583,90,-3.36,135.5,80.28,3.02
217,loreto,16,PY,1576121852,78,-23.27,-57.32,78.85,5.21
218,elbistan,100,TR,1576121852,98,38.2,37.19,32.63,2.51
219,fallon,75,US,1576121852,92,46.84,-105.12,23.0,2.73
220,tianpeng,24,CN,1576121852,46,28.88,112.34,58.87,2.84
221,fukue,40,JP,1576121852,62,35.03,136.69,57.2,29.97
222,constitucion,5,MX,1576121538,47,23.99,-104.67,48.2,3.36
223,spas,75,MK,1576121852,91,41.55,20.48,42.8,5.82
224,kurumkan,100,RU,1576121852,97,54.33,110.32,4.53,1.52
225,acari,50,BR,1576121852,81,-6.44,-36.64,72.12,17.05
226,grand river south east,75,FR,1576121540,93,48.39,5.49,39.2,12.75
227,palafrugell,90,ES,1576121546,100,41.92,3.16,48.99,2.24
228,nemuro,75,JP,1576121544,77,43.32,145.57,46.4,23.04
229,karpathos,75,GR,1576121766,60,35.51,27.21,63.59,18.99
230,makokou,0,GA,1576121853,97,0.56,12.85,67.75,1.72
231,grootfontein,100,NA,1576121853,36,-19.56,18.1,66.6,7.23
232,vao,100,EE,1576121557,66,59.1,26.19,27.32,9.44
233,xining,5,CN,1576121519,33,36.62,101.77,19.92,6.35
234,kamen-na-obi,86,RU,1576121853,96,53.79,81.35,13.15,7.67
235,waitara,0,NZ,1576121853,55,-39.0,174.24,72.0,8.01
236,jonkoping,100,SE,1576121853,100,57.78,14.16,37.4,4.7
237,maputo,75,MZ,1576121853,78,-25.97,32.57,73.4,16.11
238,kayerkan,75,RU,1576121854,92,69.35,87.76,21.2,13.42
239,hofn,100,IS,1576121550,59,64.25,-15.21,33.93,28.66
240,manggar,97,ID,1576121854,72,-2.88,108.27,83.03,8.32
241,cherskiy,100,RU,1576121540,97,68.75,161.3,-5.69,14.94
242,riohacha,46,CO,1576121722,85,11.54,-72.91,76.28,9.66
243,kloulklubed,75,PW,1576121580,74,7.04,134.26,86.0,10.29
244,saskylakh,46,RU,1576121539,95,71.97,114.09,-26.73,6.6
245,iqaluit,40,CA,1576121571,70,63.75,-68.52,1.4,12.75
246,toora-khem,27,RU,1576121854,90,52.47,96.11,9.32,2.35
247,dingle,33,PH,1576121477,79,11.0,122.67,81.86,14.14
248,sabang,61,PH,1576121854,68,13.8,121.11,81.05,13.71
249,geraldton,75,CA,1576121854,75,49.72,-86.95,-14.8,3.36
250,port hardy,100,CD,1576121854,70,-7.04,29.76,75.29,7.34
251,armidale,0,AU,1576121554,22,-30.51,151.67,84.0,5.01
252,dodola,29,BF,1576121855,15,10.12,-3.28,70.39,3.76
253,andujar,0,ES,1576121855,87,38.04,-4.05,43.0,4.0
254,arlit,7,NE,1576121855,31,18.74,7.39,65.48,8.05
255,najran,40,SA,1576121531,93,17.54,44.22,62.6,2.24
256,puerto suarez,0,AR,1576121855,65,-51.62,-69.23,46.4,12.75
257,paredon,100,BO,1576121855,83,-18.93,-65.16,59.31,0.69
258,whitehorse,90,CA,1576121855,92,60.72,-135.06,21.0,2.01
259,tirlyanskiy,32,RU,1576121855,94,54.22,58.58,17.83,6.22
260,hamilton,20,CA,1576121247,61,43.26,-79.87,21.2,11.41
261,ambunti,100,PG,1576121856,52,-4.22,142.82,93.42,2.17
262,san quintin,33,ML,1576121524,19,13.3,-4.9,67.62,10.87
263,troutdale,90,US,1576121856,87,45.53,-122.39,48.2,17.22
264,tessalit,9,ML,1576121578,27,20.2,1.01,63.81,11.99
265,esperance,0,AU,1576121480,36,-33.86,121.89,78.8,8.05
266,mount pleasant,42,GB,1576121522,84,53.66,-1.85,36.0,4.7
267,port macquarie,100,CD,1576121856,70,-7.04,29.76,75.29,7.34
268,pundaguitan,100,PH,1576121856,75,6.37,126.17,81.48,9.4
269,vaitape,62,PF,1576121856,73,-16.52,-151.75,80.47,7.4
270,milcoiu,100,RO,1576121856,91,45.04,24.47,36.81,5.79
271,lethem,65,GY,1576121857,73,3.38,-59.8,79.48,13.38
272,aleksandrov gay,19,RU,1576121857,73,56.4,38.71,26.96,6.06
273,bontang,100,ID,1576121857,79,0.12,117.47,82.24,5.95
274,dikson,2,RU,1576121526,90,73.51,80.55,-12.44,11.3
275,nouadhibou,96,MR,1576121468,37,20.93,-17.03,66.2,14.99
276,faanui,62,PF,1576121568,73,-16.48,-151.75,80.47,7.4
277,cockburn town,100,AU,1576121857,29,-32.08,141.0,77.0,16.11
278,puri,100,ID,1576121858,54,-7.54,112.45,89.87,4.72
279,laguna,4,BZ,1576121858,98,16.17,-88.94,70.97,1.01
280,trat,20,TH,1576121858,58,12.25,102.51,86.0,5.82
281,plonsk,75,PL,1576121858,94,52.62,20.38,36.0,6.93
282,forrest city,0,AU,1576121858,32,-30.85,128.11,80.6,18.34
283,mogeiro,75,BR,1576121858,88,-7.3,-35.48,78.8,11.41
284,san cristobal,33,ML,1576121331,19,13.3,-4.9,67.62,10.87
285,diamantino,100,BR,1576121858,92,-14.4,-56.44,73.09,3.24
286,dongsheng,0,CN,1576121858,46,29.72,112.52,57.69,4.14
287,pacific grove,90,US,1576121858,100,47.26,-122.25,48.2,5.59
288,kenai,75,US,1576121859,64,60.55,-151.26,39.0,19.46
289,talara,87,PE,1576121859,87,-4.58,-81.27,70.07,16.2
290,bad wurzach,40,YE,1576121859,76,14.54,44.22,63.54,0.85
291,hay river,0,AU,1576121859,20,-34.51,144.84,81.93,16.08
292,port augusta,100,CD,1576121859,70,-7.04,29.76,75.29,7.34
293,yumen,83,CN,1576121588,27,40.29,97.04,29.3,4.81
294,salem,90,US,1576121859,87,44.94,-123.03,48.99,9.17
295,provideniya,75,RU,1576121520,97,64.42,-173.23,32.0,15.66
296,cap malheureux,35,FR,1576121582,93,49.27,-1.21,48.0,8.05
297,havre-saint-pierre,1,CA,1576121585,65,50.23,-63.6,5.0,3.36
298,haines junction,90,US,1576121860,99,44.91,-117.94,37.99,16.11
299,bukama,87,CD,1576121860,98,-9.2,25.85,66.65,1.07
300,araceli,49,PH,1576121860,79,10.55,119.99,81.86,21.03
301,bonthe,12,SL,1576121860,79,7.53,-12.5,78.89,1.45
302,atambua,61,ID,1576121860,63,-9.11,124.89,85.1,9.75
303,khandyga,64,RU,1576121860,95,62.65,135.58,-32.66,1.1
304,rocha,72,UY,1576121481,91,-34.48,-54.34,65.17,10.85
305,lata,100,IN,1576121541,97,30.78,78.62,19.13,7.23
306,taoudenni,61,ML,1576121860,20,22.68,-3.98,56.52,10.04
307,carnarvon,0,ZA,1576121241,49,-30.97,22.13,61.95,9.95
308,new plymouth,88,LR,1576121676,96,6.65,-10.59,73.44,0.72
309,alofi,75,NU,1576121537,78,-19.06,-169.92,82.4,6.93
310,bongandanga,100,CD,1576121861,85,1.51,21.07,70.48,2.91
311,kununurra,0,AU,1576121574,31,-15.77,128.74,102.2,9.17
312,saint-jean-de-maurienne,75,FR,1576121861,93,45.28,6.35,39.99,5.82
313,vila velha,100,IT,1576121861,100,45.18,8.4,37.0,5.82
314,mount isa,42,GB,1576121861,84,53.66,-1.85,36.0,4.7
315,bur gabo,90,FI,1576121861,93,63.56,22.87,37.99,12.75
316,buchanan,93,LR,1576121538,94,5.88,-10.05,74.44,2.24
317,sol-iletsk,70,RU,1576121861,95,51.16,55.0,24.96,7.38
318,paamiut,100,GL,1576121576,71,61.99,-49.67,31.78,2.37
319,santa cruz,0,PH,1576121575,58,17.49,120.43,83.68,8.97
320,kawalu,100,ID,1576121592,69,-7.38,108.21,81.18,4.07
321,kostomuksha,100,RU,1576121862,95,64.59,30.6,35.1,10.58
322,iralaya,100,HN,1576121533,79,15.0,-83.23,81.48,21.03
323,vila franca do campo,100,IT,1576121549,100,45.18,8.4,37.0,5.82
324,deputatskiy,69,RU,1576121428,94,69.3,139.9,-25.82,2.98
325,nuuk,100,GL,1576121862,67,64.17,-51.74,21.2,11.41
326,cochrane,71,CL,1576121862,97,-47.25,-72.57,33.91,5.35
327,banda aceh,100,IN,1576121862,42,28.24,80.11,62.55,5.77
328,sao joao nepomuceno,7,IN,1576121862,58,20.51,76.21,71.78,14.52
329,elat,8,CM,1576121862,99,2.91,11.16,66.45,0.45
330,namatanai,100,PG,1576121664,70,-3.66,152.44,84.99,8.41
331,etchoropo,67,MX,1576121863,79,26.77,-109.67,68.0,6.38
332,luderitz,0,NA,1576121830,87,-26.65,15.16,60.8,1.12
333,stancuta,100,RO,1576121863,89,44.9,27.83,44.91,7.87
334,praia da vitoria,90,BR,1576121863,78,-20.25,-43.81,71.6,4.7
335,aklavik,5,CA,1576121525,69,68.22,-135.01,-13.0,6.93
336,guadalupe y calvo,5,MX,1576121530,81,25.68,-100.26,50.0,6.93
337,ballina,100,IE,1576121589,94,54.11,-9.15,41.0,5.01
338,sardulgarh,100,IN,1576121863,37,29.7,75.25,64.0,3.87
339,blythe,1,US,1576121863,47,33.61,-114.59,57.2,11.41
340,antalaha,0,MG,1576121592,81,-14.9,50.28,79.12,4.99
341,batticaloa,8,LK,1576121552,82,7.71,81.69,78.91,2.77
342,teguldet,100,RU,1576121863,91,57.31,88.17,23.79,10.76
343,carutapera,36,BR,1576121534,77,-1.2,-46.02,81.95,15.75
344,mikumi,1,TZ,1576121864,93,-7.4,36.98,67.48,3.91
345,derbent,0,RU,1576121864,69,42.06,48.29,43.68,3.56
346,bahia blanca,46,BR,1576121864,86,-3.55,-40.25,76.24,3.74
347,homer,90,US,1576121864,61,59.64,-151.54,50.0,8.05
348,evanston,1,US,1576121720,62,42.04,-87.69,19.99,4.85
349,harper,1,US,1576121593,66,30.3,-99.24,41.0,8.97
350,sirur,0,IN,1576121865,64,18.83,74.38,70.39,9.04
351,chitral,100,PK,1576121865,62,35.85,71.79,12.4,5.66
352,basoko,99,CD,1576121865,99,1.23,23.61,66.88,1.72
353,havelock,1,US,1576121580,80,34.88,-76.9,42.8,3.36
354,canico,75,PT,1576121865,72,32.63,-16.85,62.6,14.99
355,kailua,90,US,1576121592,74,21.39,-157.74,80.6,4.7
356,nantucket,1,US,1576121865,64,41.28,-70.1,35.6,6.93
357,salinopolis,100,BR,1576121580,76,-0.61,-47.36,82.26,17.36
358,russell,1,US,1576121756,72,38.9,-98.86,44.6,20.8
359,banepa,75,NP,1576121866,93,27.63,85.52,51.8,3.13
360,peniche,40,PT,1576121539,93,39.36,-9.38,53.01,3.36
361,banyo,0,CM,1576121866,32,6.75,11.81,65.08,2.91
362,kaeo,65,NZ,1576121866,66,-35.1,173.78,81.0,1.01
363,roseto degli abruzzi,75,US,1576121866,50,40.88,-75.21,32.0,8.05
364,studena,90,BG,1576121866,100,42.54,23.12,42.01,6.93
365,goderich,93,CA,1576121413,78,43.74,-81.71,21.0,11.99
366,byron bay,1,US,1576121866,75,32.65,-83.76,44.01,9.17
367,itarema,82,BR,1576121447,87,-2.92,-39.92,77.45,3.51
368,uige,100,AO,1576121867,97,-7.61,15.06,66.6,1.59
369,estelle,32,FR,1576121867,61,43.97,3.47,46.4,21.92
370,yar-sale,91,RU,1576121574,95,66.83,70.83,7.54,8.5
371,mabaruma,100,GY,1576121550,99,8.2,-59.78,71.74,1.66
372,talnakh,75,RU,1576121867,92,69.49,88.39,21.2,13.42
373,aksarka,100,RU,1576121518,93,66.56,67.8,10.74,5.95
374,dudinka,75,RU,1576121867,92,69.41,86.18,21.2,13.42
375,staunton,1,US,1576121729,68,38.15,-79.07,30.99,3.6
376,valdivia,2,CL,1576121867,100,-39.81,-73.25,42.8,3.36
377,viedma,43,AR,1576121867,34,-40.81,-62.99,65.03,30.62
378,evensk,100,RU,1576121867,93,61.92,159.24,-3.06,9.04
379,puchov,75,SK,1576121868,92,49.12,18.33,35.6,1.12
380,pacatuba,5,BR,1576121868,79,-10.45,-36.65,77.5,9.13
381,lavrentiya,100,RU,1576121580,87,65.58,-170.99,27.93,12.59
382,monte azul,75,FR,1576121868,75,42.47,9.39,51.8,5.82
383,chapais,75,CA,1576121868,70,49.78,-74.86,-4.0,13.87
384,souillac,86,FR,1576121529,86,45.6,-0.6,43.0,2.24
